contratoconvenio_saida;numero_empenho;data_registro_doc_empenho;razao_social_credor;cnpj_cpf_credor_formatado;unidade_orcamentaria_codigo;unidade_orcamentaria_sigla;unidade_orcamentaria_nome;elemento_despesa_codigo;elemento_despesa_descricao;item_despesa_codigo;item_despesa_descricao;fonte_recurso_codigo;fonte_recurso_descricao;valor_despesa_empenhada;valor_despesa_liquidada;valor_pago_financeiro
9164711;48;2022-05-09 00:00:00;CARITAS BRASILEIRA;33.654.419/0008-92;1481;SEDESE;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;71;RECURSOS DO FUNDO ESTADUAL DE ERRADICACAO DA MISERIA;91113,44;91113,44;91113,44
9165300;7;2022-02-14 00:00:00;ASSOC. DE PROT. E ASSIST. A CONDENADA DE CONS. LAFAIETE FEM.;26.397.050/0001-48;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS;1021319,29;1021319,29;1021319,29
9174422;50;2022-05-10 00:00:00;ASSOCIACAO DOS BAIRROS DE TEOFILO OTONI;21.297.064/0001-76;1481;SEDESE;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;71;RECURSOS DO FUNDO ESTADUAL DE ERRADICACAO DA MISERIA;83888,8;83888,8;83888,8
9177599;177;2022-05-05 00:00:00;INSTITUTO JURIDICO PARA EFETIVACAO DA CIDADANIA - MINAS GERAIS IJUCI/M;03.893.350/0001-12;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS;1192642,12;1192642,12;1192642,12
9177599;225;2022-07-15 00:00:00;INSTITUTO JURIDICO PARA EFETIVACAO DA CIDADANIA - MINAS GERAIS IJUCI/M;03.893.350/0001-12;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS;1170495,63;1170495,63;1170495,63
9177599;303;2022-10-05 00:00:00;INSTITUTO JURIDICO PARA EFETIVACAO DA CIDADANIA - MINAS GERAIS IJUCI/M;03.893.350/0001-12;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS;1434224,78;1434224,78;1434224,78
9178062;148;2022-04-04 00:00:00;DE PEITO ABERTO INCENTIVO AO ESPORTE, CULTURA E LAZER;07.952.460/0001-69;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS;604111,98;604111,98;604111,98
9178062;294;2022-09-27 00:00:00;DE PEITO ABERTO INCENTIVO AO ESPORTE, CULTURA E LAZER;07.952.460/0001-69;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS;580051,08;580051,08;580051,08
9193995;233;2022-06-28 00:00:00;PM VEREDINHA;01.614.685/0001-29;1301;SEINFRA;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;42;AUXILIOS;1;AUXILIOS;32;EXPLORACAO DE RECURSOS MINERAIS;200000,0;200000,0;140000,0
9195557;1;2022-12-28 00:00:00;PM DONA EUZEBIA;17.706.656/0001-27;4341;FHIDRO;FUNDO DE RECUPERACAO, PROTECAO E DESENVOLVIMENTO SUSTENTAVEL DAS BACIAS HIDROGRAFICAS DO ESTADO DE M;41;CONTRIBUICOES;1;CONTRIBUICOES;31;UTILIZACAO DE RECURSOS HIDRICOS;53814,21;53814,21;0,0
9197093;285;2022-03-10 00:00:00;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS - APAE;17.862.038/0001-76;4251;FEAS;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;71;RECURSOS DO FUNDO ESTADUAL DE ERRADICACAO DA MISERIA;126000,0;126000,0;126000,0
9197093;1649;2022-09-15 00:00:00;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS - APAE;17.862.038/0001-76;4251;FEAS;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;71;RECURSOS DO FUNDO ESTADUAL DE ERRADICACAO DA MISERIA;126000,0;126000,0;126000,0
9197093;2556;2022-12-07 00:00:00;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS - APAE;17.862.038/0001-76;4251;FEAS;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;71;RECURSOS DO FUNDO ESTADUAL DE ERRADICACAO DA MISERIA;25200,0;25200,0;25200,0
9197094;302;2022-03-11 00:00:00;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE BELO HORIZONTE - APAE;18.216.366/0001-68;4251;FEAS;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;71;RECURSOS DO FUNDO ESTADUAL DE ERRADICACAO DA MISERIA;1108800,0;1108800,0;1108800,0
9197095;294;2022-03-10 00:00:00;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE NEPOMUCENO;19.016.211/0001-40;4251;FEAS;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;71;RECURSOS DO FUNDO ESTADUAL DE ERRADICACAO DA MISERIA;54000,0;54000,0;54000,0
9197095;1657;2022-09-15 00:00:00;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE NEPOMUCENO;19.016.211/0001-40;4251;FEAS;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;71;RECURSOS DO FUNDO ESTADUAL DE ERRADICACAO DA MISERIA;54000,0;54000,0;54000,0
9197095;2568;2022-12-07 00:00:00;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE NEPOMUCENO;19.016.211/0001-40;4251;FEAS;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;71;RECURSOS DO FUNDO ESTADUAL DE ERRADICACAO DA MISERIA;10800,0;10800,0;10800,0
9197096;291;2022-03-10 00:00:00;ASSOC PAIS E AMIGOS DOS EXCEPCIONAIS;20.900.981/0001-30;4251;FEAS;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;71;RECURSOS DO FUNDO ESTADUAL DE ERRADICACAO DA MISERIA;54000,0;54000,0;54000,0
