contratoconvenio_saida;numero_empenho;data_registro_doc_empenho;razao_social_credor;cnpj_cpf_credor_formatado;unidade_orcamentaria_codigo;unidade_orcamentaria_sigla;unidade_orcamentaria_nome;elemento_despesa_codigo;elemento_despesa_descricao;item_despesa_codigo;item_despesa_descricao;fonte_recurso_codigo;fonte_recurso_descricao;valor_despesa_empenhada;valor_despesa_liquidada;valor_pago_financeiro
9197093;16;2023-02-06 00:00:00;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS - APAE;17.862.038/0001-76;4251;FEAS;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;71;RECURSOS DO FUNDO ESTADUAL DE ERRADICACAO DA MISERIA;252000,0;252000,0;252000,0
9197094;6;2023-02-06 00:00:00;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE BELO HORIZONTE - APAE;18.216.366/0001-68;4251;FEAS;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;71;RECURSOS DO FUNDO ESTADUAL DE ERRADICACAO DA MISERIA;1008000,0;1008000,0;1008000,0
9197095;22;2023-02-06 00:00:00;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE NEPOMUCENO;19.016.211/0001-40;4251;FEAS;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;71;RECURSOS DO FUNDO ESTADUAL DE ERRADICACAO DA MISERIA;108000,0;108000,0;108000,0
9197096;19;2023-02-06 00:00:00;ASSOC PAIS E AMIGOS DOS EXCEPCIONAIS;20.900.981/0001-30;4251;FEAS;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;71;RECURSOS DO FUNDO ESTADUAL DE ERRADICACAO DA MISERIA;108000,0;108000,0;108000,0
9197099;13;2023-02-06 00:00:00;ASSOCIACAO DOS PAIS E AMIGOS DOS EXCEPCIONAIS;18.299.354/0001-44;4251;FEAS;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;71;RECURSOS DO FUNDO ESTADUAL DE ERRADICACAO DA MISERIA;288000,0;288000,0;288000,0
9197100;28;2023-02-06 00:00:00;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS - APAE;23.098.924/0001-78;4251;FEAS;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;71;RECURSOS DO FUNDO ESTADUAL DE ERRADICACAO DA MISERIA;252000,0;252000,0;252000,0
9197101;14;2023-02-06 00:00:00;INSTITUTO SANTA MONICA;16.813.263/0001-50;4251;FEAS;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;71;RECURSOS DO FUNDO ESTADUAL DE ERRADICACAO DA MISERIA;288000,0;288000,0;288000,0
9197102;26;2023-02-06 00:00:00;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS;73.874.646/0001-71;4251;FEAS;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;71;RECURSOS DO FUNDO ESTADUAL DE ERRADICACAO DA MISERIA;288800,0;288800,0;288800,0
9197103;9;2023-02-06 00:00:00;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS;20.288.940/0001-35;4251;FEAS;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;71;RECURSOS DO FUNDO ESTADUAL DE ERRADICACAO DA MISERIA;126000,0;126000,0;126000,0
9197104;24;2023-02-06 00:00:00;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE PRADOS;26.118.448/0001-06;4251;FEAS;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;71;RECURSOS DO FUNDO ESTADUAL DE ERRADICACAO DA MISERIA;126000,0;126000,0;126000,0
