contratoconvenio_saida;numero_empenho;data_registro_doc_empenho;razao_social_credor;cnpj_cpf_credor_formatado;unidade_orcamentaria_codigo;unidade_orcamentaria_sigla;unidade_orcamentaria_nome;elemento_despesa_codigo;elemento_despesa_descricao;item_despesa_codigo;item_despesa_descricao;fonte_recurso_codigo;fonte_recurso_descricao;valor_despesa_empenhada;valor_despesa_liquidada;valor_pago_financeiro
9223785;37;2024-03-04 00:00:00;ASSOC. DE PROT. E ASSIST. AOS CONENADOS DE SANTA LUZIA;05.125.426/0001-95;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;2584836,36;2584836,36;2584836,36
9241744;1055;2024-04-05 00:00:00;CRECHE NOSSO LAR;25.456.757/0001-15;4251;FEAS;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;71;RECURSOS DO FUNDO ESTADUAL DE ERRADICACAO DA MISERIA;17917,2;17917,2;17917,2
9241744;1500;2024-08-19 00:00:00;CRECHE NOSSO LAR;25.456.757/0001-15;4251;FEAS;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;71;RECURSOS DO FUNDO ESTADUAL DE ERRADICACAO DA MISERIA;31355,1;31355,1;31355,1
9245688;1056;2024-04-05 00:00:00;CRECHE BOM PASTOR;16.749.426/0001-82;4251;FEAS;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;71;RECURSOS DO FUNDO ESTADUAL DE ERRADICACAO DA MISERIA;17064,0;17064,0;17064,0
9245688;1492;2024-08-14 00:00:00;CRECHE BOM PASTOR;16.749.426/0001-82;4251;FEAS;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;71;RECURSOS DO FUNDO ESTADUAL DE ERRADICACAO DA MISERIA;38394,0;38394,0;38394,0
9245691;62;2024-07-01 00:00:00;INSTITUTO JURIDICO PARA EFETIVACAO DA CIDADANIA - MINAS GERAIS IJUCI/M;03.893.350/0001-12;1481;SEDESE;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;77799,46;77799,46;77799,46
9245691;63;2024-07-01 00:00:00;INSTITUTO JURIDICO PARA EFETIVACAO DA CIDADANIA - MINAS GERAIS IJUCI/M;03.893.350/0001-12;1481;SEDESE;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;275000,0;275000,0;275000,0
9245735;6;2024-03-04 00:00:00;APAC DE BELO HORIZONTE;26.145.510/0001-40;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;0,0;0,0
9245735;45;2024-03-12 00:00:00;APAC DE BELO HORIZONTE;26.145.510/0001-40;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;42;AUXILIOS;1;AUXILIOS;97;TRANSFERENCIAS ESPECIAIS DE RECURSOS DA UNIAO - RECURSOS RECEBIDOS ATE 2023;150000,0;150000,0;150000,0
9245735;49;2024-04-16 00:00:00;APAC DE BELO HORIZONTE;26.145.510/0001-40;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;3575738,09;3575738,09;3575738,09
9251678;3031;2024-11-26 00:00:00;PM VARZEA DA PALMA;18.279.059/0001-26;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;315165,63;315165,63;315165,63
9261083;44;2024-03-04 00:00:00;ASSOC. DE PROT. E ASSIST. AO CONDENADO DE ALFENAS;04.926.925/0001-19;1451;SEJUSP;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;1818947,42;1818947,42;1818947,42
9262900;1054;2024-04-05 00:00:00;ATA CIDADANIA;07.304.229/0001-69;4251;FEAS;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;71;RECURSOS DO FUNDO ESTADUAL DE ERRADICACAO DA MISERIA;190762,92;190762,92;190762,92
9262900;1491;2024-08-14 00:00:00;ATA CIDADANIA;07.304.229/0001-69;4251;FEAS;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;71;RECURSOS DO FUNDO ESTADUAL DE ERRADICACAO DA MISERIA;429216,57;429216,57;429216,57
9265473;50;2024-05-23 00:00:00;INSTITUTO DH:PROMOCAO, PESQUISA E INTERVENCAO EM DIREITOS HUMANOS E CI;09.583.515/0001-36;1481;SEDESE;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;500000,0;500000,0;500000,0
